Date,Close
2023-01-02,2547.00
2023-01-03,2557.05
2023-01-04,2520.10
2023-01-05,2524.05
2023-01-06,2497.50
2023-01-09,2543.30
2023-01-10,2530.85
2023-01-11,2477.00
2023-01-12,2462.60
2023-01-13,2472.95
2023-01-16,2465.10
2023-01-17,2477.55
2023-01-18,2459.00
2023-01-19,2455.50
2023-01-20,2442.95
2023-01-23,2443.00
2023-01-24,2418.00
2023-01-25,2358.50
2023-01-27,2337.10
2023-01-30,2357.00
2023-01-31,2353.10
2023-02-01,2327.15
2023-02-02,2321.10
2023-02-03,2350.55
2023-02-06,2331.00
2023-02-07,2321.30
2023-02-08,2350.80
2023-02-09,2351.00
2023-02-10,2335.50
2023-02-13,2355.00
2023-02-14,2385.00
2023-02-15,2430.00
2023-02-16,2435.00
2023-02-17,2425.00
2023-02-20,2410.00
2023-02-21,2405.00
2023-02-22,2380.00
2023-02-23,2375.00
2023-02-24,2360.00
2023-02-27,2350.00
